"Date","Price","Open","High","Low","Change %"
"27-02-2023","7.448","7.453","7.453","7.431","0.39%"
"24-02-2023","7.419","7.390","7.422","7.373","0.38%"
"23-02-2023","7.391","7.431","7.431","7.375","-0.51%"
"22-02-2023","7.429","7.403","7.438","7.401","0.51%"
"21-02-2023","7.391","7.393","7.396","7.373","0.28%"
"20-02-2023","7.370","7.386","7.386","7.361","-0.24%"
"17-02-2023","7.388","7.405","7.405","7.358","0.63%"
"16-02-2023","7.342","7.363","7.363","7.335","-0.07%"
"15-02-2023","7.347","7.378","7.381","7.345","-0.33%"
"14-02-2023","7.371","7.408","7.408","7.369","0.07%"
"13-02-2023","7.366","7.387","7.387","7.360","0.04%"
"10-02-2023","7.363","7.356","7.370","7.351","0.26%"
"09-02-2023","7.344","7.343","7.360","7.338","0.00%"
"08-02-2023","7.344","7.330","7.358","7.310","0.48%"
"07-02-2023","7.309","7.332","7.332","7.306","-0.15%"
"06-02-2023","7.320","7.309","7.335","7.309","0.59%"
"04-02-2023","7.277","7.278","7.278","7.277","0.00%"
"03-02-2023","7.277","7.287","7.298","7.277","-0.26%"
"02-02-2023","7.296","7.255","7.299","7.245","0.26%"
"01-02-2023","7.277","7.416","7.416","7.277","-0.90%"
"31-01-2023","7.343","7.405","7.405","7.343","-0.78%"
"30-01-2023","7.401","7.392","7.407","7.377","0.19%"
"27-01-2023","7.387","7.376","7.403","7.373","0.54%"
"25-01-2023","7.347","7.344","7.358","7.331","0.01%"
"24-01-2023","7.346","7.362","7.363","7.338","-0.08%"
"23-01-2023","7.352","7.366","7.366","7.350","0.07%"
"20-01-2023","7.347","7.332","7.356","7.327","0.46%"
"19-01-2023","7.313","7.299","7.314","7.281","-0.16%"
"18-01-2023","7.325","7.325","7.327","7.313","-0.11%"
"17-01-2023","7.333","7.345","7.345","7.331","0.08%"
"16-01-2023","7.327","7.326","7.329","7.308","0.38%"
"13-01-2023","7.299","7.266","7.301","7.266","0.18%"
"12-01-2023","7.286","7.295","7.299","7.277","-0.07%"
"11-01-2023","7.291","7.332","7.332","7.290","-0.30%"
"10-01-2023","7.313","7.332","7.340","7.313","-0.39%"
"09-01-2023","7.342","7.338","7.349","7.323","-0.42%"
"06-01-2023","7.373","7.358","7.378","7.330","0.63%"
"05-01-2023","7.327","7.317","7.331","7.317","0.08%"
"04-01-2023","7.321","7.317","7.324","7.308","0.00%"
"03-01-2023","7.321","7.338","7.338","7.321","-0.26%"
"02-01-2023","7.340","7.346","7.359","7.336","0.18%"
"30-12-2022","7.327","7.313","7.335","7.312","0.22%"
"29-12-2022","7.311","7.334","7.334","7.308","-0.04%"
"28-12-2022","7.314","7.339","7.339","7.311","0.08%"
"27-12-2022","7.308","7.324","7.324","7.305","-0.15%"
"26-12-2022","7.319","7.337","7.337","7.319","0.01%"
"23-12-2022","7.318","7.338","7.338","7.306","0.03%"
"22-12-2022","7.316","7.300","7.319","7.293","0.40%"
"21-12-2022","7.287","7.316","7.316","7.281","-0.16%"
"20-12-2022","7.299","7.328","7.344","7.299","0.03%"
"19-12-2022","7.297","7.302","7.302","7.283","0.22%"
"16-12-2022","7.281","7.302","7.302","7.273","0.18%"
"15-12-2022","7.268","7.233","7.271","7.233","0.65%"
"14-12-2022","7.221","7.236","7.249","7.211","-0.61%"
"13-12-2022","7.265","7.258","7.281","7.258","-0.40%"
"12-12-2022","7.294","7.328","7.328","7.287","-0.07%"
"09-12-2022","7.299","7.298","7.309","7.286","0.15%"
"08-12-2022","7.288","7.256","7.289","7.250","0.26%"
"07-12-2022","7.269","7.258","7.307","7.226","0.28%"
"06-12-2022","7.249","7.242","7.264","7.231","0.32%"
"05-12-2022","7.226","7.237","7.237","7.209","0.07%"
"02-12-2022","7.221","7.200","7.236","7.181","0.15%"
"01-12-2022","7.210","7.255","7.255","7.205","-0.96%"
"30-11-2022","7.280","7.306","7.306","7.280","0.01%"
"29-11-2022","7.279","7.294","7.297","7.277","0.07%"
"28-11-2022","7.274","7.272","7.275","7.250","-0.37%"
"25-11-2022","7.301","7.272","7.304","7.245","0.63%"
"24-11-2022","7.255","7.264","7.283","7.255","-0.49%"
"23-11-2022","7.291","7.282","7.299","7.279","0.08%"
"22-11-2022","7.285","7.330","7.339","7.285","-0.48%"
"21-11-2022","7.320","7.338","7.338","7.285","0.18%"
"18-11-2022","7.307","7.314","7.320","7.271","0.36%"
"17-11-2022","7.281","7.250","7.292","7.243","0.10%"
"16-11-2022","7.274","7.272","7.288","7.254","0.18%"
"15-11-2022","7.261","7.295","7.299","7.258","-0.36%"
"14-11-2022","7.287","7.338","7.338","7.277","-0.27%"
"11-11-2022","7.307","7.272","7.308","7.235","-0.53%"
"10-11-2022","7.346","7.381","7.385","7.334","-0.56%"
"09-11-2022","7.387","7.425","7.425","7.381","-0.63%"
"07-11-2022","7.434","7.484","7.484","7.434","-0.47%"
"04-11-2022","7.469","7.497","7.497","7.457","-0.17%"
"03-11-2022","7.482","7.440","7.490","7.440","1.05%"
"02-11-2022","7.404","7.421","7.424","7.398","0.11%"
"01-11-2022","7.396","7.435","7.437","7.396","-0.66%"